text,label
"Kingdom Recovery Center is a place for people with substance use disorder. They provide one on one recovery coaching, pathways guide support and support all pathways to recovery. They offer SMART Recovery, All Recovery, MARA, AA, NA, POSITIVE REFLECTIONS and more. This place is a positive welcoming place with peer to peer support.",1
"Help people with there needs like pathways,AA,NA there is more we on Dr.Bob site home place",1
Usually drugs laying around,1
"Two royal group employees saved me! I ran out of gas on the side of the road and one of them stayed with my car and the other drive me to the nearest gas station and helped me get a gas can, fill it and took me back to my car, and made sure it started before they headed off!! Thank you Bob and Rustin!! Choose royal group, their employees care about more than what they are paid to do.",1
"Kingdom Recovery Center is a place for people with substance use disorder. They provide one on one recovery coaching, pathways guide support and support all pathways to recovery. They offer SMART Recovery, All Recovery, MARA, AA, NA, POSITIVE REFLECTIONS and more. This place is a positive welcoming place with peer to peer support.",1
"Help people with there needs like pathways,AA,NA there is more we on Dr.Bob site home place",1
Chris is an amazing artist!,1
#oldschool,1
"I have been working with Rick on and off for a few years. He is always very helpful, kind and considerate. He works with our budget. Highly recommend him.",1
"Hardware and lumber, great selection, cheap delivery in St Albans",1
Didn't go here lol,1
"Called and left my info with a receptionist and never heard back. I understand being busy, but unresponsiveness is a bad sign for a business.",1
This store has things you need and things you never knew you needed! You can go on every day and find more and more cool things! LOVE KINNEY'S and so will you!,1
"If you need honest people to figure out what's wrong with your car and fix it without over charging you, these are your people.",1
Greet drug store,1
"A treat: stop in to see the new art show at the Artisan's Guild! Elizabeth Robbins is showing us her stained glass, beadwork, paintings, fiberworks. What a wonderful woman and her creations are so luscious!",1
I work for them Barre Vt Location,1
Here in Barre for a 5 day conference. Book it at location because it was cheap to rent a room.,1
They are so polite and have consideration for their customers. They greet you when you come in and thank you feel comfortable. If you don't want your nails stick and you want to be able to scratch or use your nails at all go to TNT they don't make the nails thick and make them thin enough so you can feel things with them.,1
"We really appreciate your business and wanted to welcome you to t&t Nails Spa! We'll try our best to serve you, and we hope you enjoy your nails.
We look forward to your continued business.",1
I would not go anywhere else. Perhaps it's because there was a time I worked there for several years or perhaps it's just because a few of them I call friend. This is a company that has what you need when you need it if you don't have water they're the ones to call.,1
Never been there.,1
They have tires,1
"I bought my second bike from Vintage Steele and got a fun ride, helpful and knowledgeable bike mechanics, and great friends in Josh and Chris! I have and will continue to recommend folks to Vintage Steele, especially lady riders. Josh and Chris are welcoming and not condescending to women who are new or experienced bike owners.",1
My bike was quickly and expertly repaired here for a great price by genuinely friendly and welcoming staff.  Their customization work being done on other projects in the garage was jawdroppingly inspiring.  Do yourself a favor and visit Vintage Steele for any bike needs.,1
SKILLS!!!! this great group of people at Vintage Steele will make those dreams of yours come true! 🤘,1
Policies to be changed.,1
If u are not a worker or a friend of a worker I can't win there,1
No response.,1
"Unbelievably crooked with car sales, ask me to explain!",1
Your needs and delicious too,1
"Sorry, wasn't here not sure why google said I was.",1
TT is the best community garden in Burlington! Come spend some time in the Intervale away from the hubbub of the city.,1
On the way to the range,1
ridiculous,1
"The change from whole body healing to warehouse treatment for those with mental health issues has led to a drastic decline in the services the Retreat provides.
Huge disconnect from the people who run the place and the people who care directly for the patients.
The administration under the new CEO is shameful at best.
The Retreat needs to go back to following the Mission Statement inspired by Anna Marsh.",1
Beautiful snowflakes ready for winter..,1
"When...after much trials, a friend at church, LOL, @church said, ""gO apply there..."" needless to say, although the English dictionary seems limited...they will always have my back AND heart...they DO NOT judge, neither should we, negatively, at least...they ""answered a call...""",1
Busy place looking for workers!,1
keep me on the mailing list than you,1
I called to get the records for a dog I rehomed and the lady was very nice. I do not personally take my animals there because I haven't heard very many good things about them.,1
Its a dump.... check the internet for the schedule! Don't go on holiday weekends. Lol,1
My father's friend runs the place,1
Scott is a great guy,1
"Go see Heather, she's awesomesauce.",1
They need to learn to respond to there customers.,1
Go any where else,1
Nice short golf course with very reasonable prices and be sure to check their web site for discounts,1
Plenty of beer wine and liquor to get you drunk. The people that work there are very friendly and helpful.,1
You can review a lake? How does that work,1
Home,1
Beautiful new store kind of hidden. Check it out!,1
The only Real Photo Shop in Town and very beautiful set up inside and very nice staff Recommended for everyone .,1
Horrible rude owner...,1
"Blue Paddle Keelers
Bay",1
Wonderful loving body of believes. Always  reaching out to the community to build it up.,1
I'm a big fan,1
Can't go wrong everything a dollar.,1
a good place to visit if you want to die,1
"Awesome for a weddings,I'm a shuttle driver for some of them",1
Holiday bizarre,1
They love our mutz almost as much as we do!,1
The best pipe shop in town. Lowest prices. Biggest variety. Friendlest people.,1
Love this place!!! Get all my glass here,1
Whip-its. Adult toys. Not just a smoke shop. It's upstairs.,1
This place closes at 615pm? Maybe you should shut down the laundry service at 615pm but leave the place open so the people not using the service can still access the machines. That is what most other laundomats do. This is the only place in saint albans to do laundry in public. I suppose I could go down to the creek and do it the old fashioned way.,1
Gotta get back on track,1
Great plays,1
Hockey hockey hockey,1
Good weekly deals. Fun short 9 hole course.,1
I'm pretty sure it not real meat,1
A great place to purchase art from local Vermont artists. We purchase something  almost every time we visit.,1
"This is my second vehicle purchase with Twin State Ford and I couldn't be happier.  Byron Moore, Dan Brick and Pete Deschamps made great efforts to locate a new vehicle with my specific needs, get my ads ins transferred to the new vehicle and have made this an absolutely pain free experience.  As always I will refer folks to this dedicated dealership  who consistently go above and beyond.",1
This dealership needs to get there head on straight,1
Improper explanation of services addition of extra services that weren't asked for,1
Over priced,1
I would drive 2 hours one way to get a pedicure at Phinne Nail Salon!,1
I have never had the pleasure of going there. I have 2 guineas which I'm sure isnt on there list of pets lol. But as you can imagine they are very difficult to clip there nails. Everytime I call there for advice they always offer to try and clip them. I schedule an appointment. Always cancel it for one reason or another. But they are always willing to help and try!,1
"Our boys are always groomed beautifully, and they are quite at ease. I reccomend Head to Tail to all our of our friends.",1
My Abigail looks beautiful!,1
"Mixed two flavors, made a blueberry white chocolate with warm caramel toppings......",1
Good people. Decent deals. Check them out.,1
"Great,  very helpful.  Great customer service,  didn't try to rip me off like the previous mechanic I went to (monro muffler).",1
Love those guys 😉,1
Twisted Wrench,1
Love this place. Beautuful plants. Strawberries were plentiful and delicious. Prices are reasonable. Staff are friendly and helpful,1
Plants as always look excellent. Nice people. Prices are reasonable.,1
Great customer service. Great value!,1
"Real food, made honestly and with love and desire to share the wholesome goodness of the real, fresh ingredients. Very reasonably priced - not like Red Hen Bakery or Starbucks...",1
Always quality homemade food with the kitchen in view. Best spot in town!,1
Stay away I've heard several people bought cars here and we're very unhappy,1
Always a great place to find steel and big truck parts plus the service is always great,1
"Its quick and convenient, most of the time tasty. I'd stay away from end of night orders.",1
"If you like boondock camping and are prepared for it, this is a very, very nice park. We pull a 24' Travel Trailer and although we cold get in and out, it was tight. That's not necessarily a bad thing, just something to be ready for.
Like most of the VT State parks, the Ranger staff was friendly and helpful.
The dumping station was a little bit weird, but everything worked well, so it's all good.",1
Trusting,1
"Nice place with nice, friendly people",1
Clean efficient machines in various sizes.,1
Great food and pleasant people but a little bit on the pricey side,1
"Great hardware store overall, especially with their much needed expanded lumber yard. My only complaint is if you have to special order anything is a huge hassle. Nobody seams to know what to do even to get a price quote.",1
"Always good food , my favorite Chinese takeout",1
just don't care for it is bland n not tasty,1
"Nice store with plenty of pool supplies, helpful staff and friendly environment. Will be back for my swimming pool supplies and needs.",1
i fo the deliverys so if you buy a bed im gonna deliver it to your house,1
They have one of the best Deli's around Franklin county and the subs and pizza are really good makes you feel like your in an old time General store,1
Excellent VET doctor. Takes excellent care of your pet.,1
Best vet in the area. Love them so much,1
We want to thank Doc and his wife for helping our Coco out we were scared confused didn't know what to do nice to know do we have a veterinary clinic close to home that loves animals as much as we do,1
Great care,1
Wonderful as always,1
Gorgeous facility. Very thankful the college shares it with the community,1
"Wonderful folks who do an outstanding job! My mini schnauzer always comes out happy, relaxed, looking fresh and *just right* and their prices are very reasonable. Love the pop in nail service as well!",1
These women are great! They do a wonderful job and are very kind. I am sensitive to the strong smells of a nail salon and this salon does not have that problem!,1
A nice place to get a tattoo.....,1
"I designed a custom diamond and platinum engagement ring with the assistance of Caitlin Silber and I couldn't have asked for more! Caitlin was extremely knowledgeable of the custom design process and made it an easy and fun experience. She took my ideas, sketched them out and then generated a 3-D version of the ring for me to view before finalizing. My fiancee loves the ring and so do I. All in all, I would recommend Caitlin & Perrywinkle's to friends and family.",1
Great little store so much fun,1
"Great service and prices.
Repaired a chip in the windshield quickly and at a fair price without an appointment.  Have had them replace two windshields and they do quality work.",1
"The professionals at Aspen Dental were warm and welcoming for my procedure. Dr. Caric, Office Manager Stephanie, Dental Assistant Catherine, and Receptionist Erika ensured that all my needs were met. Costs were up front and all details of my procedure and my overall dental plan were handled professionally. I am very happy with the level of service and would recommend them to anyone looking for a new dental office.",1
Beautiful views and clean,1
Love this place always clean and great staff. The therapy works great. Amazing place!,1
"Great cut, great conversation, great price. What else could you ask for?",1
Awesome barbor!!,1
"I recently upgraded to a 30 HP compact tractor for residential use.  I had tested and considered many competing options including Massey, Mahindra and John Deere.  After initially ruling out Kubota due to price point, I had the opportunity to meet with Matthew LaRose from Champlain Valley Equipment.  Matthew really listened to all my needs for a new tractor and worked with me to identify the ideal machine, and at a price that beat all competitors by over 10%.  He then went above and beyond to secure financing at 0% APR so that I could even throw in some pallet forks which I was going to have to put off.
The tractor I purchased (B3350 SUHSD w/ LA534 loader) was a very rare configuration and model, so there were a couple features that we had thought were standard but reading the documentation from Kubota revealed they were optional and at a cost.  Matthew brought the whole deal home by listing those features and getting them for me either at cost or thrown in.  I left knowing I had the best deal and with the best service experience!
I will definitely be back, and would recommend Champlain Valley Equip to anyone who would listen!",1
Great service,1
They're fair priced and their work is professional.,1
"This is a great neighborhood shop that gives you five star service at three star prices.  More importantly they have a rock solid reputation for being dependable, honest, and serving with integrity.",1
"Good service  honest..and reliable
Highly recommend....",1
Always great service with a smile! Reasonably priced!,1
"Jess is awesome, I highly recommend her!",1
Sandra is the best!!!,1
Great service!!!,1
Awesome,1
Thinking about switching to AT&T.  Stopped into your Middlebury store Sean and Art were beyond helpful definitely making my decision much easier.,1
Friendly staff,1
Adopted a cat here. They were super helpful with the adoption process. I would highly recommend adopting from them. 10/10,1
Ladies at the desk were great.  Not a ton of selection which is great.  We saw a cat online but had been adopted previous day.  Wish it was updated more.  We came home with a new family member.,1
"Amazing, dedicated staff...and great care for the temporary residents they have.",1
"Good hours for a small town store. Coffee was hot but a bit weak. Lots of emergency staples if you need something quick and don't want to run to Morrisville. As with all Vermont country stores expect to pay a little more but be met with friendly customer service and lots of ""local news"".",1
Great prices great people,1
Love dollar General,1
Not very helpful,1
"(Translated by Google) We found what we needed.

My wife found what she wanted at a good price on July 7, 2019 a little after 4 pm. I took a picture of the business while I was waiting in the parking lot and I share it here with this notice.

Reviewed July 12, 2019 at Salaberry de Valleyfield, Quebec, Canada.

(Original)
Nous avons trouvé ce dont nous avions besoin.

Mon épouse a trouvé ce qu’elle désirait à bon prix en ce 7 juillet 2019 un peu après 16 heures.  J’ai pris une photo du commerce pendant que je l’attendais dans le stationnement et je vous la partage ici avec cet avis.

Avis écrit le 12 juillet 2019 à Salaberry de Valleyfield, Québec, Canada.",1
"Very helpful staff. Household and building supplies at reasonable prices. Can also repair Windows at store, but takes time.",1
Always have what I am looking for.,1
Whitney is amazing.  She does a great job with hair and waxing.  Her styles are modern and fashionable and her service is quick and friendly.  Very reasonably priced as well!  10 out of 10 would recommend.,1
"Best haircut of my life. Mick is incredibly professional and helped me pick a haircut that fit my personal style.
The drinks are also fairly priced($8 for a beer and shot of whiskey).
I couldn't recommend this place enough",1
Great supply of bird seed.. beautiful poinsettias too!! Lot's of Christmas gifts.,1
"Very helpful staff.  If you need it they have it. I needed a universal remote they had one,needed 4 foot piece of wood they cut it for me. Prices are also good. Thanks central",1
Love coming here. Always something to buy and it's all for a great cause.,1
The best little country store in central Vermont. If Al does not have it he knows where you can find it.,1
Loved it.,1
"A wonderful spot to get some laundry done. Reasonable prices to definitely get your clothes cleaned! In roughly an hour you can have a large load washed & dried and on your way home for hardly $6.50. They use a punch card for a free load after ten washes. They have AC and free WiFi, and it is always clean inside!",1
"I've used this company for business cards, flyers and more. They're always on point and affordable. I highly recommend them for business and personal printing.",1
Came here for a fax the owner was very kind and helpful,1
"Great gym, good atmosphere",1
Not Transgender friendly! Transwomen avoid this place.,1
"Great staff, very helpful and friendly. I hate shopping but this didn't feel like another ""errand"". More like just hanging out with cool people 👍 would recommend",1
Good guys will take care of your automotive parts needs.,1
Tim was very helpful and informative.,1
Honest integrity and good work. Best place to get your car worked on.,1
This is the place to bring ur vehicle 4 any transmission issues these boys will fix it no problem .very professional..,1
"Fun, inexpensive, and beautiful scenery!",1
No grass in the fairway or tee boxes,1
"Great place to go for resources and help. They help with housing, clothing, emergency fuel, electricity shut off and more..  They also will do your taxes for free!!!",1
"Super nice folks. Out of the way... Off the beaten path... On Kipling street...
Now features in house cider donuts!
Awsome antique apple variety.
A bit pricey but worth the trip.",1
Beautiful orchard. Stone walls. Apples. Grass. Old farm buildings.,1
Amazing pyo apples and spectacular stone work throughout the farm. They also run classes on stonework and wall building. Beautiful place.,1
"Locally grown fruit, and great wedding location or venue",1
"Very helpful staff, competitive prices on car parts",1
"Jon is a really great sales person and we have dealt with him a couple times, always been a good experience. Really like Emerald paint line, especially when its on sale, otherwise its pricey",1
Great service,1
"Good atmosphere, clean, tasty buffet",1
Nice location. Decent tennis courts,1
Good place to get food free if your family needs it,1
Highly recommend! The staff were very accommodating for my 37 and 1/2 week prenatal massage and didn't bat an eyelash when I was 10 minutes late due to difficulty parking and my slow pace!,1
Great place near my camp. Large inventory very helpful staff,1
"Great staff, and beautiful new store..",1
New bigger store adding new items every day.,1
Quickly came out to help with a lockout,1
"Helpful staff, quality quilt fabrics",1
Many fabric's and helpful employees,1
"I want to thank Wayne and Grace Zimmer  and all nurses for outstanding care. Today, Grace and Jessie and Mike were the best. I thought my ear was toast but with these procedures, I knew I was good when Mike said he could see my ear drum. I appreciate the outstanding care I have gotten from Wayne, Grace, and all assistants. It is so nice to hear in stereo again. Also the second opinion, colonoscopy, Dr. Schwartz, literally made my GI feel great since. I appreciate the CHC all for everything. Folks super devoted to helping others and not for money either.",1
"Great healthcare folks here; never have disappointed and always helped me.  The dental receptionist folks can be very rude, but the dentists / hygienists are angels.  Sliding scale is outstanding.",1
The employee was helpful in helping me find the part I needed.,1
Great prices and good service,1
"And Great fun, greens were fast and lots of bends and twists.",1
Leaves were to much whether it is springtime or fall it  needs to be kept up,1
Exactly!!!,1
"Kind, compassionate, efficient, friendly - all words I would use to describe the staff. A wonderful experience (at the dentist!!)",1
Course you in great shape,1
Very happy member.,1
Small but nice,1
Nick was great to work with. We were recently buying our first home and had no idea what we were doing and Nick went out of his way to help explain everything and provide advice. I can't recommend him enough!,1
